BANCO MACRO S.A.;20 DE FEBRERO PB Y MARIANO MORENO;AGUAS BLANCAS;A4531XAB;;;;NO;-22.738101;-64.352582;SALTA;ATM;1
BANCO DE LA NACION ARGENTINA;AV. CASIANO CASAS 50;GENERAL MOSCONI;A4562AVA;;;;NO;-22.596028;-63.812361;SALTA;ATM;1
BANCO MACRO S.A.;CIRO ETCHESORTU 52 PB;GENERAL MOSCONI;A4562BKA;;;;NO;-22.59715;-63.81006;SALTA;ATM;1
BANCO MACRO S.A.;CIRO ETCHESORTU 52 PB;GENERAL MOSCONI;A4562BKA;3873;482149 int 0;482149;SI;-22.59715;-63.81006;SALTA;Sucursal;0
BANCO MACRO S.A.;JUJUY 327 PB;HUMAHUACA;Y4630COE;;;;NO;-23.20379;-65.348461;JUJUY;ATM;1
BANCO MACRO S.A.;JUJUY 327 PB;HUMAHUACA;Y4630COE;3887;421010 int 0;421010;SI;-23.20379;-65.348461;JUJUY;Sucursal;0
BANCO MACRO S.A.;ENTRE RIOS 35 PB;HUMAHUACA;Y4630BWA;;;;NO;-23.205525;-65.347402;JUJUY;ATM;1
BANCO MACRO S.A.;SALTA PB Y ISLAS MALVINAS;SANTA VICTORIA;Y4600AJK;;;;NO;-22.2725;-62.7125;SALTA;ATM;1
BANCO MACRO S.A.;AV. SALTA PB;SANTA VICTORIA ESTE;A4400AWD;;;;NO;-22.271697;-62.709857;SALTA;ATM;1
BANCO MACRO S.A.;LOS PARAISOS PB Y LAS QUINAS;CORONEL CORNEJO;A4552AEB;;;;NO;-22.736519;-63.81773;SALTA;ATM;1
BANCO MACRO S.A.;AV. SAMUEL CORDOBA PB Y FERNANDO ZAMAR;GENERAL BALLIVIAN;A4400AWD;;;;NO;-22.931204;-63.859513;SALTA;ATM;1
BANCO MACRO S.A.;CARLOS PELLEGRINI 502 PB;SALTA;A4402FYL;;;;NO;-23.130369;-64.322585;SALTA;ATM;1
BANCO MACRO S.A.;CARLOS PELLEGRINI 502 PB;SALTA;A4402FYL;387;4222063 int 0;4222063;SI;-23.130369;-64.322585;SALTA;Sucursal;0
BANCO DE GALICIA Y BUENOS AIRES S.A.U.;20 DE FEBRERO 174;SAN RAMON DE LA NUEVA ORAN;A4530XBF;;;;NO;-23.133872;-64.329502;SALTA;ATM;1
BANCO MACRO S.A.;ALVARADO 306 PB;SAN RAMON DE LA NUEVA ORAN;A4530ANH;3878;421537 int 0;421537;SI;-23.133464;-64.327344;SALTA;Sucursal;0
BANCO MACRO S.A.;25 DE MAYO 284 PB;SAN RAMON DE LA NUEVA ORAN;A4530ACF;;;;NO;-23.133513;-64.327462;SALTA;ATM;1
BANCO MACRO S.A.;ALVARADO 306 PB;SAN RAMON DE LA NUEVA ORAN;A4530ANH;;;;NO;-23.133513;-64.327462;SALTA;ATM;1
BANCO MACRO S.A.;25 DE MAYO 284 PB;SAN RAMON DE LA NUEVA ORAN;A4530ACF;3878;421537 int 0;421537;SI;-23.133513;-64.327462;SALTA;Sucursal;0
BANCO DE LA NACION ARGENTINA;CNEL. EGUES 598;SAN RAMON DE LA NUEVA ORAN;A4530BYL;;;;NO;-23.13274;-64.323348;SALTA;ATM;1
BANCO DE LA NACION ARGENTINA;CNEL. EGUES 598;SAN RAMON DE LA NUEVA ORAN;A4530BYL;;;;NO;-23.132743;-64.323348;SALTA;ATM;1
BANCO DE LA NACION ARGENTINA;CNEL. EGUES 598;SAN RAMON DE LA NUEVA ORAN;A4530BYL;3878;421114;;SI;-23.132743;-64.323348;SALTA;Sucursal;0
BANCO SANTANDER RIO S.A.;CARLOS PELLEGRINI 321/25 PB DPTO: 1;SAN RAMON DE LA NUEVA ORAN;A4530XBF;;;;NO;-23.132661;-64.322952;SALTA;ATM;1
BANCO SANTANDER RIO S.A.;CARLOS PELLEGRINI 321/25 PB DPTO: 1;SAN RAMON DE LA NUEVA ORAN;A4530XBF;378;428572 int 1002;429823;SI;-23.132661;-64.322952;SALTA;Sucursal;0
BANCO MACRO S.A.;AV. SARMIENTO 1301 PB;SALTA;A4400ESE;;;;NO;-23.132081;-64.313059;SALTA;ATM;1
BANCO MACRO S.A.;RUTA NACIONAL N° 50 7 PB;SAN RAMON DE LA NUEVA ORAN;A4533XAC;;;;NO;-23.138466;-64.318627;SALTA;ATM;1
BANCO MACRO S.A.;AV. GRAL. PIZARRO PB Y PUEYRREDON;SAN RAMON DE LA NUEVA ORAN;A4400AWD;;;;NO;-23.142984;-64.324671;SALTA;ATM;1
BANCO MACRO S.A.;AV ALFREDO PALACIOS 1300 PB;SAN RAMON DE LA NUEVA ORAN;A4530FCZ;;;;NO;-23.1538;-64.3274;SALTA;ATM;1
BANCO MACRO S.A.;AV. VILLAFANE 362 PB;TILCARA;Y4624AFH;;;;NO;-23.576177;-65.396724;JUJUY;ATM;1
BANCO MACRO S.A.;LAVALLE 542 PB;TILCARA;Y4624AQL;;;;NO;-23.576421;-65.393763;JUJUY;ATM;1
BANCO MACRO S.A.;LAVALLE 542 PB;TILCARA;Y4624AQL;388;4955386 int 0;4955386;SI;-23.576421;-65.393763;JUJUY;Sucursal;0
BANCO MACRO S.A.;BELGRANO 1699 PB;MAIMARA;Y4622AJD;;;;NO;-23.625006;-65.40814;JUJUY;ATM;1
BANCO MACRO S.A.;AV. GUEMES PB;DRAGONES;A4554XAL;;;;NO;-23.25;-64.35;SALTA;ATM;1
BANCO MACRO S.A.;AV. GRAL. GUEMES PB Y ARENALES;HIPOLITO YRIGOYEN;A4400AWD;;;;NO;-23.2433891;-64.27673046;SALTA;ATM;1
BANCO MACRO S.A.;GUEMES 208 PB;SAN RAMON DE LA NUEVA ORAN;A4530CIF;;;;NO;-23.24587;-64.273134;SALTA;ATM;1
BANCO DE LA NACION ARGENTINA;AV. BUENOS AIRES 140;EMBARCACION;A4550AJD;;;;NO;-23.208164;-64.095685;SALTA;ATM;1
BANCO SANTANDER RIO S.A.;RUTA NACIONAL N°50 KM 7 1 PB DPTO: 1;EL TABACAL;A4533XAC;;;;NO;-23.266321;-64.250821;SALTA;ATM;1
BANCO MACRO S.A.;24 DE SEPTIEMBRE 398 PB;EMBARCACION;A4550ACH;;;;NO;-23.21153;-64.097887;SALTA;ATM;1
BANCO MACRO S.A.;24 DE SEPTIEMBRE 398 PB;EMBARCACION;A4550ACH;3878;471006 int 0;471006;SI;-23.21153;-64.097887;SALTA;Sucursal;0
BANCO MACRO S.A.;BELGRANO 104 PB;PURMAMARCA;Y4600AJK;;;;NO;-23.746707;-65.499448;JUJUY;ATM;1
BANCO MACRO S.A.;AV. TUCUMAN PB Y AV. PUCARA;PICHANAL;A4534BLA;;;;NO;-23.31667;-64.21667;SALTA;ATM;1
BANCO MACRO S.A.;AV. TUCUMAN PB Y AV. PUCARA;PICHANAL;A4534BLA;3878;493497 int 0;493497;SI;-23.31667;-64.21667;SALTA;Sucursal;0
BANCO MACRO S.A.;AV. SARMIENTO PB;PICHANAL;A4534BKO;;;;NO;-23.32738;-64.227899;SALTA;ATM;1
BANCO MACRO S.A.;AV. SARMIENTO PB;PICHANAL;A4534BKO;;;EX-68953-20;NO;-23.32738;-64.227899;SALTA;ATM;1
BANCO MACRO S.A.;RUTA PROVINCIAL N° 83 PB;SAN FRANCISCO;Y4600AJK;;;;NO;-23.622429;-64.949391;JUJUY;ATM;1
BANCO MACRO S.A.;AV. BELGRANO PB Y LOS MINEROS;TOLAR GRANDE;A4413XAX;;;;NO;-24.5899;-67.3956;SALTA;ATM;1
BANCO MACRO S.A.;AV. GRAL. MANUEL BELGRANO 400 PB;SAN ANTONIO DE LOS COBRES;A4411AHQ;;;;NO;-24.215924;-66.322868;SALTA;ATM;1
BANCO MACRO S.A.;AV. GRAL. MANUEL BELGRANO 400 PB;SAN ANTONIO DE LOS COBRES;A4411AHQ;387;4909290;;SI;-24.215924;-66.322868;SALTA;Sucursal;0
BANCO MACRO S.A.;RUTA NACIONAL RN9 KM 1732 1732;VOLCAN;Y4616APA;;;;NO;-23.9169;-65.4653;JUJUY;ATM;1
BANCO MACRO S.A.;ISLAS MALVINAS PB Y SAAVEDRA;URUNDEL;A4400AWD;;;;NO;-23.557732;-64.39727;SALTA;ATM;1
BANCO MACRO S.A.;AV. 4 DE OCTUBRE PB;EL TALAR;Y4541AAO;;;;NO;-23.557772;-64.362387;JUJUY;ATM;1
BANCO DE LA NACION ARGENTINA;DOCTOR ELISEO CANTON 21;LULES;T4128ATA;381;4811218;;SI;-23.923462;-65.338956;TUCUMAN;Sucursal;0
BANCO MACRO S.A.;AV. PTE. PERON 2320 PB;LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);Y4512XAS;;;;NO;-23.728601;-64.772164;JUJUY;ATM;1
BANCO MACRO S.A.;TEODORO SANCHEZ DE BUSTAMANTE 305 PB;YUTO;Y4600AJK;;;;NO;-23.64214;-64.471689;JUJUY;ATM;1
BANCO MACRO S.A.;AV. SARMIENTO PB;CALILEGUA;Y4600AJK;;;;NO;-23.774466;-64.770119;JUJUY;ATM;1
