SANTA CATALINA;1;-27.438422;-58.976159658914916;939.2438699187223
RINCONADA;1;-31.7367923;-68.6648036;1080.371100141259
LA QUIACA;4;-22.10867725;-65.59955733610917;0.6502120423264529
PUESTO VIEJO;2;-22.4954247;-65.3848131;110.22072879879393
LOS TOLDOS;7;-35.0002026;-61.0384006;207.43009858198565
NAZARENO;1;-27.4050735;-55.9130699;1075.944329533865
ABRA PAMPA;3;-22.7235275;-65.69442211755737;0.31840919377289273
PROFESOR SALVADOR MAZZA;2;-22.0515107;-63.6919523;0.7791836946778284
IRUYA;1;-22.791212;-65.2158295;0.12562370495055905
ISLA DE CAÑAS;1;-22.8992048;-64.6655331;49.06136730557784
SALTA;145;-25.1076701;-64.3494964;106.48252256605885
CAMPAMENTO VESPUCIO;1;-22.58899765;-63.860634692741385;44.21897373851472
TARTAGAL;15;-22.5194493;-63.7986328;0.4533666441433232
EL AGUILAR;1;-24.2555701;-65.2742701;123.5734984517474
AGUAS BLANCAS;1;-22.7353211;-64.3543768;0.35883048943632284
GENERAL MOSCONI;7;-22.59888955;-63.80834176495482;98.04404132744408
HUMAHUACA;3;-23.20669515;-65.3495664002638;0.2978102191841444
SANTA VICTORIA;1;-22.4011703;-64.90636018729558;226.45045878769605
SANTA VICTORIA ESTE;1;-22.2743225;-62.7123219;0.3860852966862335
CORONEL CORNEJO;1;-22.7421896;-63.8216356;0.7451724859972038
GENERAL BALLIVIAN;1;-22.9343587;-63.8598092;0.3506797701752847
SAN RAMON DE LA NUEVA ORAN;17;0;0;7367.97165997703
TILCARA;3;-23.5767908;-65.393396;0.14697235523446253
MAIMARA;1;-24.3825507;-65.1210669;88.84315345528425
DRAGONES;1;-34.5499689;-58.4434516;1377.8074907917442
HIPOLITO YRIGOYEN;2;-34.5868085;-58.3942585;691.068533992598
EMBARCACION;3;-23.2101359;-64.0973737;0.03766231302842211
EL TABACAL;1;-23.2559354;-64.2466095;1.228260785572686
PURMAMARCA;1;-32.4437286;-63.2308065;989.1832152348426
PICHANAL;4;-23.3220599;-64.2269308;0.4752286316761528
SAN FRANCISCO;37;-31.4249815;-62.0840299;24.1718236549089
TOLAR GRANDE;1;-24.5894782;-67.3966467;0.11585153221847765
SAN ANTONIO DE LOS COBRES;2;-24.2269387;-66.316181;1.3963463223448989
VOLCAN;1;-22.3413439;-65.1721653;177.0504034128285
URUNDEL;1;-23.5582035;-64.3978211;0.07676365219399325
EL TALAR;11;-31.2553415;-64.272341;463.684178478103
LULES;5;-27.785919;-64.2893346;192.48367940140378
LIBERTADOR GENERAL SAN MARTIN (EST. LEDESMA);15;0;0;7461.252152709822
YUTO;1;-23.6459984;-64.4725049;0.43536266351464015
CALILEGUA;1;-23.7726709;-64.7698109;0.20128120958163404
CAIMANCITO;1;-23.7399337;-64.5928185;0.13198748580840336
YALA;2;-23.8212216;-64.8005273;70.27401355818911
FRAILE PINTADO;2;-23.941650000000003;-64.80226262820531;0.3413012037805807
SAN SALVADOR DE JUJUY;74;-32.8039774;-61.3865475;1026.3643162407661
SUSQUES;1;-24.3857473;-65.1171303;29.48591242851292
SAN PEDRO (EST. SAN PEDRO DE JUJUY);13;0;0;7480.144989213123
PALPALA (EST. GRAL. MANUEL N. SAVIO);7;0;0;7511.584892873639
PALMA SOLA;1;-23.977989;-64.3035033;0.28745575848396204
SAN ANTONIO;3;-24.3703757;-65.3315958;790.5899158036165
CORONEL JUAN SOLA;1;-23.4730612;-62.88798104818426;0.40424778043639664
LA POMA;1;-24.72405095;-66.20043395493147;1.8481105666191433
LA ESPERANZA;2;-33.0401212;-60.6169774;1060.3103240153837
EL CARMEN;3;-35.4211713;-60.1580599;1317.996221368798
EL PIQUETE;1;-24.1783524;-64.6777372;0.17284987195241558
LA MENDIETA;1;-24.3145624;-64.9651945;0.19380263296304637
PERICO;11;-24.3938068;-65.11528896134641;1.7256519851732341
VILLA SAN LORENZO;1;-31.5897993;-68.5205148;853.3635157998771
MONTERRICO;2;-23.2486517;-65.9567107;154.69009121483415
SANTA CLARA;1;-24.30944695;-64.66250677179336;0.3838981969856784
LA CALDERA;1;-24.542639700000002;-65.43780384476295;9.026615616976542
EL FUERTE;1;-24.2613091;-64.4157327;0.038074487324836856
PAMPA BLANCA;1;-24.53441875;-65.074224527374;0.3875654014740279
LOS BLANCOS;1;-24.1586636;-65.2090542;273.07353093973103
VAQUEROS;1;-24.6907536;-65.4096364;0.3911201318445347
LA UNION;1;-34.5654921;-58.7971929;1257.152300252645
GENERAL PIZARRO;1;-24.2277683;-63.9897804;0.4684651650623618
AGUAS CALIENTES;1;-26.2597618;-66.6201834;252.24024856674
EL BORDO;1;-25.8083573;-64.3669493;147.4743115939058
PAYOGASTA;1;-25.0516507;-66.1031482;0.3338295192909332
GENERAL GÜEMES;8;-24.8076741;-64.9167381759887;29.17651482630864
CAMPO SANTO;1;-24.6819396;-65.1022991;0.5516741498506672
LA SILLETA;1;-24.8782793;-65.5899205;0.4192778378178987
CACHI;2;-25.018535749999998;-66.2356540180227;10.498202916073229
CAMPO QUIJANO;1;-24.9087268;-65.6439521;0.3443966791453224
RIO PIEDRAS;1;-25.3462169;-65.0039143;70.61266118165071
MOLINOS;1;-25.575340150000002;-66.45563346148111;124.39797829028755
POZO DE MAZA;1;-23.5709595;-61.707022;0.36225417078763117
CERRILLOS;2;-24.903531649999998;-65.48724035306654;0.21624256673908163
AGUARAY;2;-22.2448504;-63.7353213;221.04541368265402
ROSARIO DE LERMA;5;-24.53873;-65.89910908517965;59.01897800084978
